Station_ID,State,City,Latitude,Longitude,Charger_Type,Number_of_Ports,Daily_Utilization_Pct,Installation_Cost_INR,Monthly_Maintenance_INR,Power_Output_kW,Operational_Since,Utilization_Category
ST-0177,Andhra Pradesh,Kurnool,28.2771,76.6359,Ultra-Fast DC,3,63.5,2248000,27000,141.7,07-12-2022,Normal
ST-0217,Rajasthan,Udaipur,29.6502,84.0339,AC Level 1,3,57.6,157000,1900,3.1,25-06-2022,Normal
ST-0092,Delhi,Faridabad,26.4829,77.1399,AC Level 2,5,63.6,412000,4900,22.5,29-06-2023,Normal
ST-0078,Rajasthan,Jodhpur,25.9128,82.2733,Ultra-Fast DC,3,65.6,2160000,25900,157.6,07-11-2020,Normal
ST-0142,Maharashtra,Thane,23.0176,77.82,Ultra-Fast DC,3,70.2,2634000,31600,145.1,12-05-2022,Normal
ST-0206,Delhi,Gurugram,16.942,82.5971,AC Level 2,5,60.6,357000,4300,21.3,13-08-2021,Normal
ST-0204,Rajasthan,Kota,21.6432,80.3292,DC Fast Charger,2,60.3,983000,11800,57.3,30-11-2022,Normal
ST-0055,Telangana,Khammam,28.7353,81.7096,DC Fast Charger,5,71.3,1018000,12200,62.2,04-05-2023,Normal
ST-0155,Kerala,Kochi,9.9008,76.2805,AC Level 2,9,55.7,420000,5000,23.8,25-06-2020,Normal
ST-0110,Kerala,Kochi,9.8967,76.2792,DC Fast Charger,5,72.9,902000,10800,65.4,14-10-2022,Normal
ST-0065,Maharashtra,Nashik,18.0384,75.94,AC Level 1,2,71.7,146000,1700,3.2,25-06-2023,Normal
ST-0131,Tamil Nadu,Salem,22.9874,76.2147,Ultra-Fast DC,3,71.6,2796000,33600,145.9,13-03-2023,Normal
ST-0152,Delhi,New Delhi,28.6221,77.2304,Ultra-Fast DC,2,56.4,2251000,27000,135,30-11-2022,Normal
ST-0026,Rajasthan,Jaipur,26.9031,75.7588,AC Level 1,3,59,141000,1700,3.1,13-09-2020,Normal
ST-0224,Uttar Pradesh,Meerut,21.5165,74.0893,Ultra-Fast DC,1,57.8,2623000,31500,157.8,15-06-2021,Normal
ST-0172,Haryana,Gurugram,21.819,72.7692,AC Level 1,2,57.1,161000,1900,3.2,09-05-2020,Normal
ST-0045,Maharashtra,Thane,23.3442,85.0037,Ultra-Fast DC,3,72.3,2259000,27100,152.2,19-12-2022,Normal
ST-0094,Gujarat,Gandhinagar,24.8853,77.2582,Ultra-Fast DC,1,52.9,2699000,32400,137.7,16-05-2021,Normal
ST-0102,Andhra Pradesh,Tirupati,22.3819,72.8903,AC Level 2,5,52,366000,4400,21,19-02-2020,Normal
ST-0006,Telangana,Nizamabad,17.986,82.7915,AC Level 2,10,51.9,363000,4400,22.2,13-05-2022,Normal
ST-0145,Karnataka,Hubli,18.733,79.814,DC Fast Charger,2,69.4,1034000,12400,63.4,26-04-2023,Normal
ST-0167,Andhra Pradesh,Guntur,22.2713,84.1582,Ultra-Fast DC,2,65.9,2400000,28800,135.2,21-02-2020,Normal
ST-0118,Tamil Nadu,Vellore,27.1049,79.2196,AC Level 2,6,51.8,374000,4500,20.5,12-01-2023,Normal
ST-0290,Madhya Pradesh,Jabalpur,16.2487,77.5495,DC Fast Charger,3,61.1,1021000,12300,64.3,21-12-2023,Normal
ST-0010,Haryana,Yamunanagar,18.0289,79.2317,AC Level 2,6,74.4,395000,4700,21.8,04-07-2022,Normal
ST-0038,Tamil Nadu,Tiruchirappalli,20.1922,81.6802,DC Fast Charger,6,52,967000,11600,61.2,21-05-2020,Normal
ST-0049,Rajasthan,Bikaner,23.03,86.0053,Ultra-Fast DC,3,73.5,2288000,27500,159.3,31-01-2022,Normal
ST-0263,Punjab,Chandigarh,30.7499,76.7688,AC Level 2,7,69.7,437000,5200,20.2,07-10-2023,Normal
ST-0146,Andhra Pradesh,Vijayawada,24.8743,75.9169,AC Level 2,10,73.6,347000,4200,22.4,05-01-2021,Normal
ST-0123,Delhi,Rohini,20.9254,81.1957,DC Fast Charger,5,54.6,998000,12000,61.9,13-05-2020,Normal
ST-0106,Gujarat,Vadodara,22.2804,73.172,Ultra-Fast DC,2,58.9,2501000,30000,152.8,13-09-2022,Normal
ST-0285,Madhya Pradesh,Ujjain,24.367,84.5338,Ultra-Fast DC,1,71.2,2338000,28100,152.7,01-04-2022,Normal
ST-0294,Uttar Pradesh,Agra,28.1952,72.0648,DC Fast Charger,3,69.4,877000,10500,58.2,27-08-2020,Normal
ST-0002,Haryana,Faridabad,21.8948,71.964,Ultra-Fast DC,1,55.7,2365000,28400,158.5,12-10-2023,Normal
ST-0112,Punjab,Ludhiana,26.6507,84.611,Ultra-Fast DC,2,68.8,2533000,30400,159.6,24-01-2021,Normal
ST-0279,Rajasthan,Bikaner,21.1153,70.5455,AC Level 1,5,54.4,134000,1600,3.4,15-05-2022,Normal
ST-0108,Delhi,Gurugram,25.8376,75.0747,AC Level 1,3,52.5,152000,1800,3.6,15-05-2020,Normal
ST-0009,Delhi,Rohini,20.3553,78.9217,DC Fast Charger,5,71.9,957000,11500,60.5,20-12-2021,Normal
ST-0284,Gujarat,Ahmedabad,22.995,72.5609,Ultra-Fast DC,1,55.8,2690000,32300,145.7,17-02-2023,Normal
ST-0281,Andhra Pradesh,Visakhapatnam,17.6976,83.2643,AC Level 2,10,68.7,402000,4800,21.2,31-03-2022,Normal
ST-0200,Uttar Pradesh,Varanasi,22.5626,83.2334,Ultra-Fast DC,6,56,2466000,29600,152.1,14-07-2022,Normal
ST-0262,Karnataka,Belagavi,27.0465,77.6084,AC Level 2,10,62.7,407000,4900,22.8,30-10-2022,Normal
ST-0250,Gujarat,Vadodara,22.3432,73.2271,DC Fast Charger,6,63.3,782000,9400,59,05-03-2020,Normal
ST-0083,Uttar Pradesh,Meerut,22.3421,75.1954,Ultra-Fast DC,1,60.8,2352000,28200,155,30-05-2023,Normal
ST-0229,Tamil Nadu,Chennai,13.0999,80.2416,AC Level 2,8,59.6,380000,4600,24.1,04-05-2022,Normal
ST-0001,Punjab,Patiala,16.9605,78.405,Ultra-Fast DC,3,51.8,2552000,30600,163.6,17-03-2022,Normal
ST-0188,Telangana,Warangal,26.4257,73.5167,DC Fast Charger,6,73.9,994000,11900,57.2,29-03-2023,Normal
ST-0226,Telangana,Karimnagar,15.7,74.6264,AC Level 1,6,58.2,167000,2000,3.1,11-05-2023,Normal
ST-0060,Tamil Nadu,Madurai,16.2385,79.1246,AC Level 1,6,63.3,149000,1800,3.5,27-03-2022,Normal
ST-0166,Gujarat,Surat,21.1845,72.8165,AC Level 2,9,74.2,430000,5200,19.9,15-07-2023,Normal
ST-0223,Uttar Pradesh,Allahabad,24.6507,70.4628,DC Fast Charger,6,59.3,948000,11400,58.5,05-04-2023,Normal
ST-0209,Kerala,Thiruvananthapuram,21.6467,75.8898,AC Level 2,9,52,422000,5100,21.2,05-12-2021,Normal
ST-0228,Kerala,Kozhikode,27.379,70.2193,DC Fast Charger,5,62.2,955000,11500,58.9,27-11-2021,Normal
ST-0201,Kerala,Kozhikode,27.0242,85.1016,AC Level 1,3,60,144000,1700,3.4,11-03-2022,Normal
ST-0126,Uttar Pradesh,Varanasi,23.9065,73.8618,AC Level 2,5,69.8,431000,5200,22.2,15-05-2020,Normal
ST-0254,Delhi,Noida,23.8677,76.0243,DC Fast Charger,2,66.2,883000,10600,56.1,24-04-2023,Normal
ST-0186,Gujarat,Gandhinagar,21.7803,76.193,AC Level 2,9,71.6,345000,4100,20.7,06-07-2021,Normal
ST-0199,Rajasthan,Udaipur,28.4845,78.0299,Ultra-Fast DC,3,70.6,2754000,33000,141.3,08-12-2021,Normal
ST-0087,Maharashtra,Nagpur,21.1554,79.0873,AC Level 1,6,50.7,163000,2000,3.4,16-03-2022,Normal
ST-0061,West Bengal,Asansol,26.64,72.0664,AC Level 2,8,51.3,406000,4900,24,20-03-2022,Normal
ST-0035,Maharashtra,Mumbai,19.0646,72.869,AC Level 1,3,59.4,153000,1800,3,17-02-2023,Normal
ST-0139,Kerala,Kochi,9.9734,76.2548,AC Level 2,6,72.2,384000,4600,22.5,09-03-2020,Normal
ST-0027,Andhra Pradesh,Tirupati,25.9041,73.676,AC Level 2,7,61.9,350000,4200,20,10-05-2022,Normal
ST-0044,Rajasthan,Jodhpur,24.0661,71.125,AC Level 2,10,65.1,447000,5400,21.2,01-08-2023,Normal
ST-0097,Tamil Nadu,Coimbatore,11.0551,76.9486,AC Level 2,9,63.4,369000,4400,22.1,14-03-2020,Normal
ST-0084,Andhra Pradesh,Tirupati,25.7876,76.3186,AC Level 1,6,57.8,169000,2000,3.3,27-03-2020,Normal
ST-0253,Kerala,Thrissur,23.03,81.0117,Ultra-Fast DC,1,69.7,2607000,31300,142.6,12-03-2022,Normal
ST-0074,West Bengal,Durgapur,18.3538,75.4401,Ultra-Fast DC,2,58.6,2858000,34300,153.5,04-05-2022,Normal
ST-0248,Tamil Nadu,Chennai,13.0901,80.2961,AC Level 1,5,59.9,162000,1900,3,22-02-2022,Normal
ST-0050,Telangana,Nizamabad,27.3994,77.82,AC Level 2,8,54.7,375000,4500,23.9,31-01-2023,Normal
ST-0133,Haryana,Panipat,15.9347,84.4216,AC Level 1,2,57.9,165000,2000,3.1,12-08-2020,Normal
ST-0051,Andhra Pradesh,Guntur,20.4163,77.2788,Ultra-Fast DC,3,64.4,2534000,30400,160.7,05-05-2023,Normal
ST-0212,Andhra Pradesh,Tirupati,20.0743,71.8055,Ultra-Fast DC,1,55.9,2268000,27200,141,22-09-2021,Normal
ST-0197,Telangana,Karimnagar,21.9819,70.6194,DC Fast Charger,5,59.8,1010000,12100,56.4,22-02-2023,Normal
ST-0256,Rajasthan,Kota,20.3123,80.6019,AC Level 2,9,62.8,451000,5400,20.6,10-11-2023,Normal
ST-0039,West Bengal,Howrah,21.7715,77.82,DC Fast Charger,6,69.6,864000,10400,57.7,14-01-2021,Normal
ST-0125,Karnataka,Mangaluru,27.284,82.7922,DC Fast Charger,2,59.2,892000,10700,56,27-12-2022,Normal
ST-0096,Rajasthan,Jaipur,26.8629,75.7571,DC Fast Charger,2,55,1005000,12100,54.3,03-05-2022,Normal
ST-0264,Punjab,Patiala,17.6681,70.3125,AC Level 2,7,51.1,450000,5400,22.4,02-07-2021,Normal
ST-0076,Tamil Nadu,Tiruchirappalli,23.1401,82.8155,AC Level 2,9,57,418000,5000,24,30-05-2022,Normal
ST-0016,Punjab,Ludhiana,16.5418,79.8711,AC Level 1,5,70.3,167000,2000,3.5,04-08-2021,Normal
