Station_ID,State,City,Latitude,Longitude,Charger_Type,Number_of_Ports,Daily_Utilization_Pct,Installation_Cost_INR,Monthly_Maintenance_INR,Power_Output_kW,Operational_Since
ST-0201,Kerala,Kozhikode,27.0242,85.1016,AC Level 1,3.0,60.0,144000,1700,3.4,2022-03-11
ST-0203,Haryana,Faridabad,22.8404,80.0275,DC Fast Charger,6.0,82.0,992000,11900,60.3,2022-08-28
ST-0273,Rajasthan,Ajmer,26.0948,82.8718,AC Level 2,5.0,81.4,373000,4500,21.6,2020-12-24
ST-0257,Karnataka,Hubli,16.6806,72.7133,DC Fast Charger,5.0,46.3,984000,11800,57.8,2021-06-30
ST-0151,Rajasthan,Ajmer,25.2432,70.6957,DC Fast Charger,4.0,96.4,960000,11500,54.1,2021-07-07
ST-0088,Telangana,Karimnagar,21.7579,72.8957,AC Level 2,4.0,87.3,410000,4900,23.2,2023-11-17
ST-0269,Madhya Pradesh,Bhopal,23.21,77.4033,AC Level 1,4.0,63.1,166000,2000,3.2,2023-08-12
ST-0213,Maharashtra,Solapur,24.2871,73.5529,DC Fast Charger,2.0,88.6,899000,10800,56.9,2023-04-09
ST-0147,Punjab,Patiala,27.9443,75.4615,AC Level 1,3.0,88.0,152000,1800,3.5,2022-04-25
ST-0098,Karnataka,Hubli,19.8728,84.3171,AC Level 1,5.0,43.1,168000,2000,3.3,2021-08-22
ST-0246,Punjab,Patiala,23.9479,82.1092,Ultra-Fast DC,4.0,95.1,2499000,30000,142.2,2022-09-19
ST-0126,Uttar Pradesh,Varanasi,23.9065,73.8618,AC Level 2,5.0,69.8,431000,5200,22.2,2020-05-15
ST-0254,Delhi,Noida,23.8677,76.0243,DC Fast Charger,2.0,66.2,883000,10600,56.1,2023-04-24
ST-0062,Madhya Pradesh,Ujjain,17.9013,79.8586,AC Level 2,4.0,86.0,378000,4500,23.1,2021-10-24
ST-0082,Telangana,Hyderabad,17.4099,78.5188,AC Level 2,10.0,86.9,392000,4700,23.5,2020-12-28
ST-0186,Gujarat,Gandhinagar,21.7803,76.193,AC Level 2,9.0,71.6,345000,4100,20.7,2021-07-06
ST-0069,Punjab,Patiala,19.0695,77.3977,AC Level 1,2.0,19.2,171000,2000,3.1,2020-08-08
ST-0130,Uttar Pradesh,Allahabad,24.9175,71.401,AC Level 2,10.0,41.6,391000,4700,20.5,2023-09-15
ST-0211,Uttar Pradesh,Agra,17.3771,85.5167,DC Fast Charger,4.0,65.3,1004000,12000,55.0,2023-03-03
ST-0057,Haryana,Ambala,21.2815,83.8925,AC Level 2,4.0,59.1,394000,4700,23.3,2021-09-16
ST-0020,Uttar Pradesh,Agra,20.4494,74.1599,DC Fast Charger,6.0,40.0,796000,9600,54.8,2021-12-05
ST-0199,Rajasthan,Udaipur,28.4845,78.0299,Ultra-Fast DC,3.0,70.6,2754000,33000,141.3,2021-12-08
ST-0087,Maharashtra,Nagpur,21.1554,79.0873,AC Level 1,6.0,50.7,163000,2000,3.4,2022-03-16
ST-0071,Haryana,Yamunanagar,22.9441,,Ultra-Fast DC,1.0,83.1,2824000,33900,162.9,2021-05-21
ST-0230,Uttar Pradesh,Lucknow,26.8764,80.9056,AC Level 1,5.0,80.9,155000,1900,3.4,2020-10-11
ST-0138,Tamil Nadu,Salem,22.6784,78.8827,Ultra-Fast DC,2.0,15.6,2578000,30900,149.4,2022-05-19
ST-0061,West Bengal,Asansol,26.64,72.0664,AC Level 2,8.0,51.3,406000,4900,24.0,2022-03-20
ST-0035,Maharashtra,Mumbai,19.0646,72.869,AC Level 1,3.0,59.4,153000,1800,3.0,2023-02-17
ST-0041,Madhya Pradesh,Jabalpur,26.5086,72.4274,DC Fast Charger,4.0,75.3,900000,10800,63.7,2020-07-16
ST-0139,Kerala,Kochi,9.9734,76.2548,AC Level 2,6.0,72.2,384000,4600,22.5,2020-03-09
ST-0077,Punjab,Amritsar,24.8252,79.0641,AC Level 2,4.0,25.8,397000,4800,22.8,2021-01-12
ST-0266,Uttar Pradesh,Kanpur,18.6456,81.9378,DC Fast Charger,4.0,90.2,1013000,12200,57.2,2023-07-22
ST-0243,Gujarat,Ahmedabad,22.9957,72.5796,DC Fast Charger,5.0,78.2,811000,9700,64.2,2022-03-22
ST-0027,Andhra Pradesh,Tirupati,25.9041,73.676,AC Level 2,7.0,61.9,350000,4200,20.0,2022-05-10
ST-0033,Maharashtra,Nagpur,21.1536,79.0388,Ultra-Fast DC,4.0,56.2,2516000,30200,157.6,2023-11-10
ST-0044,Rajasthan,Jodhpur,24.0661,71.125,AC Level 2,10.0,65.1,447000,5400,21.2,2023-08-01
ST-0097,Tamil Nadu,Coimbatore,11.0551,76.9486,AC Level 2,9.0,63.4,369000,4400,22.1,2020-03-14
ST-0084,Andhra Pradesh,Tirupati,25.7876,76.3186,AC Level 1,6.0,57.8,169000,2000,3.3,2020-03-27
ST-0253,Kerala,Thrissur,,81.0117,Ultra-Fast DC,1.0,69.7,2607000,31300,142.6,2022-03-12
ST-0186,Gujarat,Gandhinagar,21.7803,76.193,AC Level 2,9.0,71.6,345000,4100,20.7,2021-07-06
ST-0074,West Bengal,Durgapur,18.3538,75.4401,Ultra-Fast DC,2.0,58.6,2858000,34300,153.5,2022-05-04
ST-0249,Kerala,Kozhikode,17.272,79.9132,AC Level 1,2.0,80.1,133000,1600,3.4,2022-08-12
ST-0248,Tamil Nadu,Chennai,13.0901,80.2961,AC Level 1,5.0,59.9,162000,1900,3.0,2022-02-22
ST-0234,West Bengal,Siliguri,15.9218,71.9316,DC Fast Charger,4.0,83.0,773000,9300,56.4,2020-07-16
ST-0137,Madhya Pradesh,Jabalpur,29.6304,72.148,AC Level 2,10.0,42.1,425000,5100,21.0,2023-06-30
ST-0050,Telangana,Nizamabad,27.3994,,AC Level 2,8.0,54.7,375000,4500,23.9,2023-01-31
ST-0208,Tamil Nadu,Vellore,25.391,80.645,AC Level 2,5.0,95.6,342000,4100,23.0,2021-10-10
ST-0291,Telangana,Khammam,18.8593,71.5311,AC Level 1,2.0,49.8,141000,1700,3.4,2021-12-26
ST-0133,Haryana,Panipat,15.9347,84.4216,AC Level 1,2.0,57.9,165000,2000,3.1,2020-08-12
ST-0051,Andhra Pradesh,Guntur,20.4163,77.2788,Ultra-Fast DC,3.0,64.4,2534000,30400,160.7,2023-05-05
ST-0239,Kerala,Thiruvananthapuram,21.6004,85.2919,AC Level 2,7.0,39.0,439000,5300,20.0,2022-11-19
ST-0053,Haryana,Panipat,28.7963,78.1393,AC Level 2,4.0,56.1,391000,4700,21.8,2020-11-15
ST-0081,Madhya Pradesh,Gwalior,17.7757,76.1964,Ultra-Fast DC,2.0,87.2,2397000,28800,151.4,2020-03-07
ST-0032,Uttar Pradesh,Allahabad,19.4817,75.7254,AC Level 1,3.0,24.4,140000,1700,3.2,2021-10-26
ST-0122,Uttar Pradesh,Agra,25.2654,81.3837,Ultra-Fast DC,,83.2,2524000,30300,141.5,2023-06-17
ST-0212,Andhra Pradesh,Tirupati,20.0743,71.8055,Ultra-Fast DC,1.0,55.9,2268000,27200,141.0,2021-09-22
ST-0197,Telangana,Karimnagar,21.9819,70.6194,DC Fast Charger,,59.8,1010000,12100,56.4,2023-02-22
ST-0089,Madhya Pradesh,Indore,22.7326,75.8201,AC Level 1,5.0,47.6,145000,1700,3.1,2022-12-08
ST-0256,Rajasthan,Kota,20.3123,80.6019,AC Level 2,9.0,62.8,451000,5400,20.6,2023-11-10
ST-0059,Madhya Pradesh,Jabalpur,29.5586,82.0242,AC Level 1,3.0,30.6,135000,1600,3.2,2020-10-30
ST-0034,Kerala,Thiruvananthapuram,20.545,71.414,AC Level 2,4.0,86.4,455000,5500,22.9,2023-07-04
ST-0039,West Bengal,Howrah,21.7715,,DC Fast Charger,6.0,69.6,864000,10400,57.7,2021-01-14
ST-0052,Maharashtra,Nagpur,21.1039,79.0818,DC Fast Charger,4.0,69.8,877000,10500,63.9,2023-11-13
ST-0261,Delhi,Gurugram,20.9827,73.6086,AC Level 1,6.0,21.9,152000,1800,3.0,2021-07-13
ST-0103,Uttar Pradesh,Allahabad,26.9528,81.7957,AC Level 2,7.0,93.7,439000,5300,22.6,2021-11-14
ST-0196,Karnataka,Belagavi,28.1902,81.7255,AC Level 1,6.0,75.5,129000,1500,3.1,2020-08-15
ST-0168,Andhra Pradesh,Kurnool,18.6176,76.1843,DC Fast Charger,5.0,75.6,967000,11600,60.3,2020-03-16
ST-0117,Karnataka,Bengaluru,12.979,77.5494,AC Level 1,3.0,82.6,155000,1900,3.3,2021-07-09
ST-0125,Karnataka,Mangaluru,27.284,82.7922,DC Fast Charger,2.0,59.2,892000,10700,56.0,2022-12-27
ST-0219,Gujarat,Vadodara,22.3353,73.2273,DC Fast Charger,5.0,78.6,874000,10500,58.4,2020-01-14
ST-0288,Telangana,Warangal,21.4524,73.2767,AC Level 2,9.0,36.9,368000,4400,23.3,2021-01-04
ST-0048,Punjab,Patiala,20.4059,77.3205,Ultra-Fast DC,4.0,64.2,2300000,27600,158.7,2022-10-30
ST-0214,West Bengal,Howrah,26.7222,82.2525,AC Level 2,4.0,44.7,361000,4300,19.8,2023-10-18
ST-0299,Uttar Pradesh,Lucknow,26.7999,80.966,AC Level 1,4.0,44.4,149000,1800,3.3,2021-01-04
ST-0096,Rajasthan,Jaipur,26.8629,75.7571,DC Fast Charger,2.0,55.0,1005000,12100,54.3,2022-05-03
ST-0163,Telangana,Nizamabad,27.6857,82.5415,AC Level 1,6.0,49.7,154000,1800,3.0,2023-11-12
ST-0264,Punjab,Patiala,17.6681,70.3125,AC Level 2,7.0,51.1,450000,5400,22.4,2021-07-02
ST-0076,Tamil Nadu,Tiruchirappalli,23.1401,82.8155,AC Level 2,9.0,57.0,418000,5000,24.0,2022-05-30
ST-0023,Tamil Nadu,Vellore,26.0606,76.1926,Ultra-Fast DC,4.0,66.3,2167000,26000,156.4,2023-07-04
ST-0073,Delhi,Dwarka,29.9162,85.6126,DC Fast Charger,4.0,79.9,939000,11300,59.0,2020-03-01
ST-0016,Punjab,Ludhiana,16.5418,79.8711,AC Level 1,5.0,70.3,167000,2000,3.5,2021-08-04
ST-0169,Rajasthan,Jaipur,26.8621,75.818,Ultra-Fast DC,4.0,77.3,2231000,26800,155.0,2023-10-20
